update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
1,8192,10,10,1.6,5615.3,1.5,7.3,0.31,,,,,,,85.0,1.7,1.7895,9.51,0.7945,5.99,0.0,0.0,-0.0095,-0.0,0.0125,-1.6846,0,random
2,16384,30,20,10.5,5856.5,1.4,7.3,0.31,,,,,,,196.2,3.9,1.7929,10.23,0.7711,6.01,0.0,0.0,0.0102,-0.0001,0.0206,-1.6574,0,random
3,24576,60,30,19.3,5850.7,1.4,7.4,0.31,,,,,,,267.5,4.93,1.7772,10.08,0.769,5.91,0.0,0.0,0.0288,-0.0003,0.0318,-1.6676,0,random
4,32768,82,22,28.3,5835.4,1.4,7.6,0.3,,,,,,,249.9,4.64,1.7925,10.45,0.7639,6.0,0.0,0.0,0.152,-0.0003,0.0222,-1.6659,0,random
5,40960,119,37,37.7,5096.9,1.6,7.8,0.45,,,,,,,332.4,5.84,1.8139,10.82,0.7616,6.13,0.0001,0.0,0.172,-0.0005,0.0364,-1.7024,0,random
6,49152,147,28,47.4,4634.4,1.8,7.9,0.58,,,,,,,260.1,4.79,1.8048,10.56,0.7658,6.08,0.0004,0.0,0.1917,-0.001,0.032,-1.6845,1,random
7,57344,178,31,57.4,4033.2,2.0,7.7,0.73,0.0,0.0,,0.0,0.0,,273.5,5.0,1.8175,10.56,0.7712,6.16,0.0041,0.0207,0.3051,-0.003,0.0307,-1.6936,1,random
8,65536,215,37,67.8,3175.6,2.6,7.9,1.43,0.4286,0.6667,0.25,0.0,0.4286,,240.1,4.81,1.8152,10.84,0.7617,6.14,0.003,0.0151,0.3271,-0.003,0.034,-1.656,1,random
9,73728,252,37,78.8,2787.6,2.9,7.9,1.7,0.4,0.4545,0.25,0.0,0.4,,222.7,4.84,1.7876,10.28,0.7672,5.97,0.0043,0.026,0.4205,-0.0035,0.0327,-1.6429,1,random
10,81920,287,35,89.9,2717.1,3.0,7.6,1.78,0.4286,0.2857,0.5714,0.0,0.4286,,197.5,4.74,1.7584,10.67,0.7428,5.8,0.003,0.0102,0.4664,-0.0021,0.0391,-1.6393,1,random
11,90112,323,36,100.4,2998.6,2.7,7.7,1.6,0.6875,0.5,0.875,0.0,0.6875,,235.4,5.36,1.7667,10.79,0.7427,5.85,0.0034,0.0184,0.6178,-0.0028,0.0268,-1.6506,2,random
12,98304,357,34,111.3,2724.7,3.0,7.6,1.8,0.6364,0.6667,0.6,0.0,0.6364,,254.3,5.41,1.7406,10.5,0.7404,5.7,0.0038,0.0147,0.7079,-0.003,0.0289,-1.6161,2,random
13,106496,397,40,122.1,2660.1,3.1,7.5,1.87,0.5294,0.4,0.5833,0.0,0.5294,,256.9,6.03,1.702,10.09,0.7363,5.48,0.0037,0.0241,0.7354,-0.0025,0.0258,-1.6341,2,random
14,114688,435,38,132.8,2709.9,3.0,7.8,1.84,0.2222,0.0909,0.4286,0.0,0.2222,,185.0,4.71,1.7478,10.71,0.7371,5.74,0.004,0.0222,0.7165,-0.0034,0.0313,-1.6082,2,random
15,122880,469,34,144.0,2542.6,3.2,7.9,2.0,0.7273,1.0,0.7,0.0,0.7273,,236.0,5.41,1.7276,10.73,0.7279,5.63,0.0038,0.0202,0.7737,-0.0029,0.0309,-1.6232,2,random
16,131072,518,49,155.3,2486.2,3.3,8.0,2.1,0.5926,0.4286,0.7692,0.0,0.5926,,232.1,5.88,1.7118,10.4,0.7309,5.54,0.0037,0.0202,0.7309,-0.0032,0.0415,-1.6219,3,random
17,139264,541,23,166.6,2552.1,3.2,8.2,1.97,0.7857,0.4,1.0,0.0,0.7857,,209.5,5.57,1.701,10.73,0.7169,5.48,0.0028,0.0121,0.8402,-0.0028,0.0211,-1.6016,3,random
18,147456,584,43,178.2,2491.1,3.3,8.0,2.03,0.4211,0.2,0.6667,0.0,0.4211,,239.1,5.86,1.7011,10.77,0.7156,5.48,0.0039,0.0317,0.8168,-0.0039,0.0274,-1.616,3,random
19,155648,626,42,189.8,2395.8,3.4,7.8,2.19,0.4,0.2,0.6,0.0,0.4,,187.1,4.86,1.6864,10.98,0.7037,5.4,0.0039,0.0243,0.8295,-0.0035,0.0313,-1.586,3,random
20,163840,669,43,201.2,2359.6,3.5,7.8,2.26,0.6207,0.2308,0.9375,0.0,0.6207,,191.5,5.47,1.6708,10.79,0.7024,5.32,0.0029,0.0204,0.8233,-0.0033,0.0301,-1.6062,3,random
21,172032,707,38,212.6,2389.8,3.4,7.6,2.24,0.7143,0.2857,0.9286,0.0,0.7143,,187.1,4.89,1.6746,10.19,0.7213,5.34,0.0037,0.0258,0.8732,-0.0044,0.0214,-1.5708,4,random
22,180224,745,38,224.0,2292.8,3.6,7.7,2.32,0.5,0.2308,1.0,0.0,0.5,,203.4,5.16,1.7176,11.27,0.709,5.57,0.0043,0.0262,0.886,-0.0029,0.0213,-1.588,4,random
23,188416,784,39,235.4,2244.4,3.6,8.0,2.4,0.64,0.5714,0.6667,0.0,0.64,,224.1,6.05,1.6478,9.85,0.7205,5.2,0.0033,0.0253,0.7754,-0.0034,0.0393,-1.5504,4,random
24,196608,822,38,247.1,2276.3,3.6,7.7,2.38,0.5714,0.4167,0.7778,0.0,0.5714,,236.0,6.11,1.6629,10.33,0.7122,5.27,0.0039,0.0241,0.8326,-0.0041,0.0296,-1.5731,4,random
25,204800,854,32,258.4,2448.3,3.3,8.2,2.12,0.6667,0.5556,0.8333,0.0,0.6667,,220.6,5.66,1.7121,11.12,0.7108,5.54,0.0053,0.0427,0.8602,-0.0049,0.028,-1.584,4,random
26,212992,900,46,270.1,2403.9,3.4,7.8,2.16,0.2273,0.1538,0.3333,0.0,0.2273,,194.8,5.17,1.6746,10.57,0.7102,5.34,0.0048,0.0318,0.8188,-0.0045,0.0354,-1.5582,5,random
27,221184,937,37,281.6,2365.2,3.5,7.8,2.25,0.5238,0.2727,0.8,0.0,0.5238,,203.3,5.46,1.6331,10.1,0.7062,5.12,0.0037,0.037,0.8874,-0.0045,0.0218,-1.5565,5,random
28,229376,968,31,293.0,2374.7,3.4,8.0,2.25,0.5,0.1429,0.8571,0.0714,0.5,,247.0,5.9,1.6615,10.35,0.7111,5.27,0.0044,0.0277,0.8794,-0.0047,0.0199,-1.5391,5,random
29,237568,1000,32,304.5,2439.8,3.4,8.1,2.15,0.2632,0.1111,0.4,0.0526,0.2632,,203.4,5.78,1.6636,10.83,0.6983,5.28,0.0044,0.0388,0.856,-0.0046,0.0283,-1.5437,5,random
30,245760,1041,41,316.8,2053.9,4.0,7.7,2.72,0.4737,0.2727,0.75,0.0,0.4737,,233.2,5.63,1.6132,10.28,0.6923,5.02,0.0044,0.03,0.7599,-0.0045,0.0403,-1.507,5,random
31,253952,1083,42,328.4,2132.3,3.8,7.7,2.64,0.5769,0.4,0.8182,0.0,0.5769,,232.8,6.26,1.6494,10.56,0.6998,5.2,0.0035,0.03,0.7811,-0.0046,0.0348,-1.5697,6,random
