update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor
1,8192,29,29,1.5,5984.2,1.4,7.3,0.31,,,,,,,89.8,1.52,,1.8235,9.52,0.8094,6.19,0.0,0.0,-0.0068,-0.0002,0.0344,-1.7189,0,random
2,16384,72,43,10.5,5377.6,1.5,7.6,0.34,,,,,,,142.0,2.44,,1.8017,10.12,0.7784,6.06,0.0001,0.0,0.0071,-0.0005,0.0413,-1.6807,0,random
3,24576,109,37,19.7,5473.7,1.5,7.7,0.33,,,,,,,175.8,3.16,,1.8129,10.12,0.7833,6.13,0.0007,0.0008,0.0301,-0.0012,0.0402,-1.6782,0,random
4,32768,153,44,29.1,5535.7,1.5,7.4,0.33,,,,,,,212.1,3.75,,1.7584,9.38,0.7853,5.8,0.0011,0.0016,0.0249,-0.0015,0.0453,-1.6579,0,random
5,40960,185,32,38.3,4929.0,1.7,7.4,0.59,,,,,,,213.2,3.88,,1.7521,9.71,0.7709,5.77,0.0036,0.0108,0.1405,-0.0023,0.0331,-1.6463,0,random
6,49152,212,27,47.2,5937.7,1.4,7.2,0.35,,,,,,,229.2,4.22,,1.7493,9.86,0.7643,5.75,0.0051,0.0268,0.1504,-0.0031,0.03,-1.6469,1,random
7,57344,241,29,56.6,4079.0,2.0,7.3,0.86,1.0,,1.0,0.0,1.0,,278.4,5.0,8.0,1.7713,10.51,0.7531,5.88,0.0051,0.0298,0.308,-0.0034,0.0289,-1.6618,1,random
8,65536,273,32,66.4,3366.3,2.4,7.2,1.25,0.75,0.6667,1.0,0.0,0.75,,250.5,5.06,-7.62,1.7743,10.61,0.7513,5.9,0.0052,0.0199,0.3044,-0.003,0.0317,-1.6549,1,random
9,73728,300,27,76.1,3560.6,2.3,7.2,1.17,0.5714,0.4,1.0,0.0,0.5714,,289.7,5.56,3.86,1.7439,10.21,0.7505,5.72,0.0038,0.0164,0.4354,-0.0032,0.0259,-1.6628,1,random
10,81920,338,38,86.1,3061.4,2.7,7.4,1.51,0.6154,0.375,1.0,0.0,0.6154,,247.3,5.37,-4.38,1.7553,10.64,0.7422,5.79,0.0047,0.0226,0.552,-0.0035,0.0255,-1.6337,1,random
11,90112,374,36,96.9,2506.4,3.3,7.6,2.0,0.8889,0.75,1.0,0.0,0.8889,,250.1,4.92,-0.56,1.7057,9.76,0.7488,5.5,0.004,0.0295,0.5608,-0.0036,0.0312,-1.605,2,random
12,98304,405,31,107.9,2502.5,3.3,7.6,1.99,0.4348,0.25,0.6364,0.0,0.4348,,192.5,5.35,-5.09,1.7267,10.61,0.7312,5.62,0.0044,0.0251,0.6262,-0.003,0.026,-1.6488,2,random
13,106496,437,32,118.5,2813.5,2.9,7.3,1.68,0.4545,0.6667,0.375,0.0909,0.4545,,295.4,6.06,3.64,1.7291,10.2,0.7444,5.64,0.0036,0.0268,0.714,-0.0029,0.03,-1.6204,2,random
14,114688,474,37,129.0,2767.2,3.0,7.4,1.75,0.7059,0.3333,0.9091,0.0,0.7059,,224.9,5.05,8.06,1.6497,9.12,0.7464,5.21,0.0032,0.0193,0.7623,-0.0028,0.0272,-1.559,2,random
15,122880,507,33,139.5,2716.7,3.0,7.3,1.87,0.3333,0.2,0.4286,0.0,0.3333,,252.5,5.45,-2.08,1.6956,9.95,0.7381,5.45,0.0041,0.0321,0.7579,-0.0033,0.0269,-1.6018,2,random
16,131072,538,31,149.8,2851.1,2.9,7.2,1.69,0.5882,0.6667,0.5,0.0,0.5882,,242.8,6.0,-2.29,1.7073,10.47,0.7269,5.51,0.0033,0.0204,0.7601,-0.0035,0.0284,-1.5971,3,random
17,139264,569,31,160.6,2414.8,3.4,7.3,2.1,0.5333,0.4286,0.625,0.0,0.5333,,265.3,5.94,1.0,1.7351,10.65,0.7336,5.67,0.0028,0.0127,0.7847,-0.0022,0.026,-1.6145,3,random
18,147456,599,30,171.4,2410.1,3.4,7.1,2.21,0.4706,0.25,0.6667,0.0,0.4706,,234.2,5.6,0.65,1.6531,9.7,0.7277,5.22,0.004,0.0262,0.8386,-0.0029,0.0243,-1.5751,3,random
19,155648,639,40,182.3,2291.6,3.6,7.6,2.36,0.5909,0.2727,0.9091,0.0,0.5909,,262.6,6.38,-1.27,1.6676,9.75,0.7322,5.3,0.0031,0.0154,0.817,-0.0035,0.0296,-1.5993,3,random
20,163840,679,40,193.4,2503.5,3.3,7.1,1.99,0.35,0.1818,0.5556,0.0,0.35,,253.4,5.95,-0.05,1.6675,9.69,0.7342,5.3,0.0043,0.0197,0.82,-0.0032,0.0297,-1.5934,3,random
21,172032,714,35,204.3,2259.6,3.6,7.3,2.4,0.6471,0.6667,0.6429,0.0,0.6471,,211.1,4.86,4.88,1.6755,9.96,0.729,5.34,0.0031,0.0165,0.7599,-0.0034,0.0322,-1.5722,4,random
22,180224,746,32,215.1,2384.7,3.4,7.3,2.26,0.65,0.4286,0.7692,0.0,0.65,,226.8,5.91,4.0,1.601,9.11,0.7247,4.96,0.0042,0.0378,0.8012,-0.004,0.0281,-1.523,4,random
23,188416,781,35,226.2,2272.7,3.6,7.3,2.42,0.5833,0.4615,0.7273,0.0,0.5833,,216.0,6.06,-0.71,1.6741,10.3,0.7179,5.33,0.0035,0.0317,0.8156,-0.0034,0.0272,-1.5535,4,random
24,196608,819,38,237.0,2424.0,3.4,7.5,2.21,0.4286,0.3846,0.5,0.0,0.4286,,229.8,5.82,0.38,1.6397,9.92,0.7146,5.15,0.0038,0.0327,0.7594,-0.0041,0.0367,-1.5772,4,random
25,204800,855,36,248.1,2386.1,3.4,7.4,2.2,0.7143,0.3333,1.0,0.0,0.7143,,216.4,5.47,1.43,1.6697,10.0,0.7251,5.31,0.0039,0.0399,0.8181,-0.0045,0.0275,-1.5606,4,random
26,212992,896,41,258.7,2611.7,3.1,7.3,1.95,0.3333,0.2,0.4545,0.0,0.3333,,239.1,5.73,-4.86,1.6247,9.76,0.7133,5.08,0.0035,0.0302,0.8192,-0.0039,0.0306,-1.5536,5,random
27,221184,920,24,269.2,2647.7,3.1,7.1,1.91,0.2727,0.1667,0.4,0.0,0.2727,,221.6,5.58,-7.09,1.6376,9.84,0.7162,5.14,0.0041,0.0273,0.8544,-0.0044,0.0247,-1.5447,5,random
28,229376,955,35,279.7,2592.1,3.2,7.2,1.98,0.5882,0.3333,0.875,0.0,0.5882,,257.0,6.06,-0.88,1.6515,9.92,0.7198,5.21,0.0033,0.0242,0.8856,-0.0036,0.0244,-1.549,5,random
29,237568,979,24,290.0,2750.0,3.0,7.3,1.87,0.5,0.4,0.5714,0.0,0.5,,227.8,5.38,-2.92,1.5939,9.75,0.6999,4.92,0.0039,0.027,0.8818,-0.0046,0.0211,-1.5159,5,random
30,245760,1015,36,300.9,2432.3,3.4,7.3,2.18,0.4667,0.4286,0.5,0.0,0.4667,,308.1,6.86,5.33,1.6361,10.05,0.7091,5.14,0.0038,0.0282,0.8153,-0.0039,0.0306,-1.5364,5,random
31,253952,1050,35,312.1,2208.3,3.7,7.3,2.53,0.6875,0.6,0.8333,0.0,0.6875,,228.2,5.37,4.38,1.6206,9.71,0.7128,5.06,0.0029,0.0218,0.7997,-0.0033,0.0368,-1.5388,6,random
32,262144,1090,40,323.3,2171.4,3.8,7.3,2.59,0.5556,0.4118,0.8,0.0,0.5556,,213.8,5.88,4.52,1.624,9.98,0.7058,5.07,0.0026,0.0124,0.7788,-0.0029,0.0363,-1.5206,6,random
33,270336,1129,39,334.7,2068.3,4.0,7.3,2.74,0.3913,0.1429,0.7778,0.0,0.3913,,262.0,6.56,-0.74,1.6196,9.65,0.7144,5.05,0.0039,0.0339,0.8308,-0.0043,0.0278,-1.5177,6,random
34,278528,1160,31,345.6,2335.5,3.5,7.5,2.33,0.5238,0.4615,0.625,0.0,0.5238,,223.5,5.84,-0.29,1.6022,10.13,0.6919,4.96,0.0049,0.0321,0.8256,-0.0038,0.0297,-1.4814,6,random
35,286720,1187,27,356.6,2406.1,3.4,7.4,2.24,0.5,0.3333,0.6,0.0,0.5,,238.4,6.11,1.12,1.5642,9.95,0.6809,4.78,0.005,0.046,0.8189,-0.0055,0.0303,-1.4705,6,random
36,294912,1222,35,367.5,2469.9,3.3,7.0,2.14,0.5556,0.2222,0.8889,0.0,0.5556,,251.7,6.11,0.39,1.6196,10.57,0.6869,5.05,0.0042,0.0443,0.8693,-0.0036,0.0249,-1.4921,7,random
37,303104,1261,39,378.1,2391.5,3.4,7.1,2.23,0.4762,0.3333,0.5833,0.0,0.4762,,238.0,6.05,4.48,1.5192,9.44,0.6766,4.57,0.0057,0.0375,0.7987,-0.0054,0.0462,-1.47,7,random
38,311296,1293,32,389.0,2293.2,3.6,7.4,2.36,0.7333,0.6,1.0,0.0,0.7333,,225.6,5.44,1.0,1.5254,9.13,0.6898,4.6,0.0059,0.0459,0.8435,-0.0049,0.034,-1.4496,7,random
39,319488,1334,41,400.1,2329.4,3.5,7.5,2.31,0.68,0.4615,0.9167,0.0,0.68,,231.5,6.12,3.4,1.5488,9.92,0.6751,4.71,0.0049,0.0373,0.8677,-0.0051,0.0304,-1.4908,7,random
40,327680,1369,35,411.2,2341.9,3.5,7.2,2.28,0.5789,0.4545,0.75,0.0,0.5789,,213.5,5.49,4.05,1.5501,9.75,0.6808,4.71,0.0038,0.0381,0.8653,-0.0057,0.029,-1.4542,7,random
41,335872,1400,31,422.2,2266.1,3.6,7.2,2.39,0.5385,0.2,0.75,0.0769,0.5385,,278.3,6.81,3.62,1.5106,9.54,0.6697,4.53,0.0041,0.0353,0.9013,-0.0044,0.0216,-1.4599,8,random
42,344064,1432,32,433.1,2329.4,3.5,7.5,2.33,0.4615,0.25,0.8,0.0,0.4615,,249.1,6.09,-3.85,1.5685,9.92,0.6836,4.8,0.0032,0.0233,0.861,-0.0048,0.0303,-1.4597,8,random
43,352256,1466,34,444.0,2437.7,3.4,7.4,2.19,0.619,0.5714,0.6429,0.0,0.619,,220.5,6.15,1.14,1.5616,9.77,0.685,4.77,0.0044,0.0326,0.8311,-0.0051,0.0333,-1.4761,8,random
44,360448,1496,30,455.2,2273.8,3.6,7.4,2.38,0.4,0.125,0.7143,0.0667,0.4,,255.9,6.37,0.33,1.5633,10.48,0.6653,4.77,0.0037,0.0317,0.8791,-0.005,0.0237,-1.4693,8,random
45,368640,1535,39,466.2,2320.6,3.5,7.5,2.32,0.5238,0.25,0.6923,0.0,0.5238,,245.3,6.33,2.67,1.5502,9.84,0.6779,4.71,0.0045,0.0403,0.8114,-0.0062,0.0404,-1.4509,8,random
46,376832,1571,36,477.4,2311.2,3.5,7.2,2.33,0.7143,0.4444,0.9167,0.0,0.7143,,215.2,5.81,6.81,1.5331,9.77,0.6726,4.63,0.0062,0.0482,0.8783,-0.0053,0.0264,-1.4216,9,random
47,385024,1610,39,488.5,2161.6,3.8,7.4,2.57,0.8,0.5556,1.0,0.0,0.8,,249.3,6.23,4.4,1.5018,9.41,0.67,4.49,0.0054,0.0453,0.8535,-0.0057,0.0342,-1.3987,9,random
48,393216,1650,40,499.8,2195.0,3.7,7.3,2.45,0.6154,0.4118,1.0,0.0,0.6154,,193.1,5.45,1.38,1.4987,9.44,0.6675,4.48,0.0037,0.0333,0.8197,-0.0059,0.0386,-1.3975,9,random
49,401408,1688,38,510.4,2571.3,3.2,7.3,2.03,0.6111,0.5556,0.6667,0.0,0.6111,,238.7,5.97,6.22,1.4722,9.25,0.6617,4.36,0.0052,0.0361,0.7673,-0.0058,0.0506,-1.3728,9,random
50,409600,1717,29,521.3,2425.9,3.4,7.3,2.19,0.625,0.5,0.75,0.0,0.625,,198.4,5.31,1.81,1.4754,9.92,0.6429,4.37,0.0056,0.0455,0.8726,-0.0059,0.0232,-1.3739,9,random
51,417792,1757,40,532.0,2499.0,3.3,7.3,2.1,0.5625,0.4444,0.7143,0.0,0.5625,,243.3,6.15,2.31,1.4311,9.38,0.6393,4.18,0.0049,0.0362,0.7914,-0.0057,0.0458,-1.3367,10,random
