update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,rollout_s,update_s,wait_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,vp_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size,anchor,eval_seed,eval_games,eval_win_rate,eval_win_rate_us,eval_win_rate_ussr,eval_s
1,8192,19,19,1.6,5836.4,1.4,7.8,0.32,,,,,,,83.3,1.26,,1.8997,10.33,0.8135,6.68,0.0,0.0,-0.0133,-0.0002,0.0214,-1.7319,0,random,,,,,,
2,16384,66,47,11.0,5613.7,1.5,7.9,0.36,,,,,,,151.2,2.4,,1.823,10.13,0.7873,6.19,0.0,0.0,0.0163,-0.0003,0.0457,-1.6285,0,random,,,,,,
3,24576,113,47,20.5,5696.3,1.4,7.8,0.36,,,,,,,168.4,2.72,,1.835,10.33,0.7858,6.27,0.0003,0.0,0.0123,-0.0008,0.0507,-1.6355,0,random,,,,,,
4,32768,152,39,29.9,5350.5,1.5,7.8,0.42,,,,,,,199.4,3.15,,1.8364,10.78,0.7722,6.27,0.0015,0.0038,0.0113,-0.0022,0.0432,-1.63,0,random,,,,,,
5,40960,188,36,39.6,4856.7,1.7,8.0,0.57,,,,,,,187.5,3.03,,1.8324,10.58,0.7768,6.25,0.0041,0.0182,0.1221,-0.0027,0.0354,-1.6252,0,random,,,,,,
6,49152,218,30,49.3,5333.6,1.5,7.9,0.4,,,,,,,244.7,3.93,,1.8037,10.45,0.7686,6.07,0.0043,0.0238,0.1169,-0.0031,0.0311,-1.6011,1,random,,,,,,
7,57344,251,33,59.6,3675.8,2.2,7.9,1.08,0.6667,1.0,0.0,0.0,0.6667,,257.0,4.21,-5.0,1.8178,10.78,0.7645,6.16,0.0059,0.032,0.0937,-0.0038,0.0338,-1.5927,1,random,,,,,,
8,65536,278,27,70.4,3123.7,2.6,8.0,1.45,0.4444,0.5714,0.0,0.0,0.4444,,229.1,4.33,-7.44,1.7926,11.07,0.7457,6.01,0.0037,0.0265,0.0624,-0.0033,0.0295,-1.5827,1,random,,,,,,
9,73728,305,27,81.2,2990.8,2.7,8.0,1.54,0.6,0.625,0.5,0.0,0.6,,253.9,5.04,-2.6,1.8689,12.45,0.7412,6.48,0.0037,0.0209,0.2126,-0.003,0.0261,-1.6214,1,random,,,,,,
10,81920,330,25,92.2,2894.2,2.8,7.8,1.64,0.8889,0.75,1.0,0.0,0.8889,,318.0,5.84,-0.22,1.8174,12.17,0.7274,6.16,0.0046,0.0277,0.2763,-0.0037,0.0232,-1.6029,1,random,,,,,,
11,90112,359,29,102.8,3066.1,2.7,7.5,1.52,0.5714,0.5,0.6,0.0,0.5714,,343.5,6.1,0.43,1.78,11.44,0.7305,5.93,0.0042,0.0199,0.3931,-0.0032,0.0247,-1.5774,2,random,,,,,,
12,98304,387,28,113.5,2802.0,2.9,7.6,1.77,0.5833,0.4286,0.8,0.0,0.5833,,291.5,5.68,-0.5,1.7706,11.44,0.7265,5.87,0.0032,0.034,0.4367,-0.0037,0.0215,-1.5696,2,random,,,,,,
13,106496,408,21,124.1,2828.0,2.9,7.6,1.75,0.5556,0.0,0.7143,0.0,0.5556,,229.7,4.95,6.22,1.773,12.08,0.7115,5.89,0.0038,0.0215,0.666,-0.0034,0.0178,-1.5739,2,random,,,,,,
14,114688,439,31,135.1,2529.3,3.2,8.3,2.03,0.6667,0.8,0.5714,0.0,0.6667,,327.7,6.19,5.5,1.7835,12.15,0.7142,5.95,0.0034,0.0294,0.6595,-0.0038,0.0221,-1.616,2,random,,,,,,
15,122880,473,34,147.2,2260.1,3.6,8.2,2.36,0.6667,0.25,0.8182,0.0,0.6667,,287.4,5.91,3.67,1.7511,11.72,0.7114,5.76,0.0042,0.0262,0.6224,-0.0034,0.0254,-1.5549,2,random,,,,,,
16,131072,497,24,158.8,2510.9,3.3,8.1,2.05,0.625,0.3333,0.8,0.0,0.625,,281.5,6.46,-1.5,1.7754,12.11,0.7119,5.9,0.0039,0.032,0.6418,-0.004,0.0208,-1.5902,3,random,,,,,,
17,139264,527,30,170.2,2599.0,3.2,8.8,1.95,0.5455,0.4,0.6667,0.0,0.5455,,318.2,6.23,-0.82,1.7203,11.04,0.7163,5.59,0.0027,0.0142,0.6945,-0.0029,0.0246,-1.547,3,random,1001,200,0.02,0.03,0.01,0.0
18,147456,563,36,182.5,2419.6,3.4,8.0,2.17,0.7273,0.6,0.8333,0.0,0.7273,,285.0,5.47,1.45,1.7262,10.61,0.7309,5.62,0.0037,0.0278,0.6132,-0.0042,0.0341,-1.5231,3,random,,,,,,
19,155648,601,38,194.2,2264.2,3.6,8.0,2.38,0.6364,0.4444,0.7692,0.0,0.6364,,223.6,5.16,3.18,1.7428,11.33,0.7179,5.71,0.0043,0.035,0.7282,-0.0041,0.0301,-1.5686,3,random,,,,,,
20,163840,629,28,206.0,2305.5,3.6,8.2,2.36,0.3529,0.1818,0.6667,0.0,0.3529,,209.6,5.11,-3.94,1.7413,11.28,0.7187,5.7,0.0039,0.0194,0.7618,-0.0033,0.0241,-1.5307,3,random,,,,,,
21,172032,663,34,217.9,2277.5,3.6,8.0,2.37,0.5882,0.4444,0.75,0.0,0.5882,,235.1,5.35,-3.18,1.7148,11.45,0.7032,5.56,0.0038,0.0228,0.7732,-0.0038,0.0248,-1.5076,4,random,,,,,,
22,180224,700,37,229.8,2183.5,3.8,8.1,2.55,0.7083,0.6364,0.7692,0.0,0.7083,,248.4,5.89,5.33,1.6899,11.09,0.7024,5.42,0.0034,0.0287,0.7778,-0.0039,0.0321,-1.5124,4,random,,,,,,
23,188416,730,30,241.6,2305.8,3.6,8.2,2.33,0.8235,0.625,1.0,0.0,0.8235,,260.3,5.9,2.53,1.687,11.26,0.6968,5.4,0.0043,0.0347,0.7512,-0.0038,0.0282,-1.5013,4,random,,,,,,
24,196608,759,29,253.6,2253.9,3.6,8.0,2.44,0.6,0.75,0.5455,0.0,0.6,,272.8,5.76,8.27,1.701,11.39,0.6992,5.48,0.004,0.0328,0.7107,-0.004,0.0299,-1.4857,4,random,,,,,,
25,204800,790,31,265.6,2147.4,3.8,8.1,2.6,0.7778,0.7,0.875,0.0,0.7778,,276.6,6.35,3.22,1.6302,10.49,0.6935,5.1,0.0041,0.0423,0.6543,-0.0049,0.0327,-1.4634,4,random,,,,,,
26,212992,819,29,277.3,2342.1,3.5,7.9,2.3,0.7778,0.7143,0.8182,0.0,0.7778,,269.5,6.41,6.5,1.6383,10.58,0.6945,5.15,0.0047,0.0381,0.6771,-0.0048,0.0261,-1.4862,5,random,,,,,,
27,221184,839,20,288.7,2450.8,3.3,8.0,2.17,0.6,0.5,0.8,0.0,0.6,,261.4,6.75,6.93,1.6667,11.41,0.6845,5.29,0.0052,0.0403,0.7741,-0.0053,0.0167,-1.4604,5,random,,,,,,
28,229376,881,42,300.5,2260.6,3.6,8.0,2.42,0.6154,0.625,0.6,0.0,0.6154,,300.6,5.62,5.46,1.6418,11.04,0.6836,5.16,0.0035,0.0377,0.5841,-0.0052,0.043,-1.4619,5,random,,,,,,
29,237568,911,30,312.1,2360.5,3.5,8.1,2.28,0.5789,0.2857,0.75,0.0,0.5789,,209.5,5.4,6.0,1.6493,11.15,0.6839,5.2,0.0058,0.0474,0.751,-0.005,0.022,-1.4379,5,random,,,,,,
30,245760,939,28,323.7,2427.3,3.4,8.1,2.17,0.6,0.2857,0.875,0.0,0.6,,304.9,6.71,3.87,1.611,11.21,0.6666,5.01,0.0053,0.0421,0.7959,-0.0053,0.0218,-1.4353,5,random,,,,,,
31,253952,966,27,335.2,2551.8,3.2,8.0,2.03,0.6667,0.8,0.5714,0.0,0.6667,,260.0,5.41,4.42,1.6379,11.6,0.6683,5.14,0.0041,0.0328,0.7635,-0.0038,0.0253,-1.4273,6,random,,,,,,
32,262144,988,22,346.7,2456.4,3.3,8.0,2.16,0.625,0.6667,0.5,0.0,0.625,,277.8,6.0,0.75,1.5562,10.7,0.6566,4.74,0.0046,0.0423,0.8459,-0.0046,0.0194,-1.3993,6,random,,,,,,
