update,timesteps,games,games_in_rollout,elapsed_s,steps_per_s,win_rate,win_rate_us,win_rate_ussr,draw_rate,win_rate_vs_pool,win_rate_vs_anchor,ep_len_mean,turn_mean,entropy,k_valid,entropy_ratio,k_eff,approx_kl,clip_fraction,explained_variance,policy_loss,value_loss,entropy_loss,pool_size
1,8192,28,28,4.1,2163.9,0.087,0.1538,0.0,0.0,,0.087,86.4,3.0,1.7842,9.42,0.7953,5.95,0.0,0.0,0.0008,-0.0001,0.0298,-1.6983,0
2,16384,73,45,21.1,2233.1,0.087,0.1667,0.0,0.0,,0.087,139.9,3.76,1.7961,9.92,0.7826,6.03,0.0,0.0,0.087,-0.0002,0.0436,-1.6768,0
3,24576,109,36,37.8,2496.8,0.1333,0.25,0.0,0.0,,0.1333,191.6,4.53,1.7739,10.21,0.7635,5.89,0.0,0.0,0.1959,-0.0002,0.0366,-1.6711,0
4,32768,144,35,55.7,2337.3,0.0769,0.125,0.0,0.0,,0.0769,186.1,4.29,1.7775,10.02,0.7714,5.92,0.0001,0.0,0.2628,-0.0006,0.036,-1.6702,0
5,40960,186,42,72.7,2175.2,0.0,0.0,0.0,0.0,,0.0,252.5,5.64,1.8055,10.39,0.7713,6.08,0.0003,0.0,0.517,-0.0007,0.0305,-1.6852,0
6,49152,221,35,90.2,1873.4,0.0,0.0,0.0,0.0,0.0,0.0,188.7,4.69,1.7179,9.06,0.7795,5.57,0.0003,0.0,0.6251,-0.0007,0.0269,-1.6149,1
7,57344,279,58,113.5,1021.7,0.2821,0.2857,0.2778,0.0,0.6,0.0833,174.3,4.81,1.8073,9.94,0.7868,6.09,0.0008,0.0009,0.6645,-0.0011,0.0393,-1.6888,1
8,65536,324,45,131.9,1595.0,0.2414,0.1333,0.3571,0.0,0.4615,0.0625,164.4,4.33,1.7922,10.18,0.7722,6.0,0.0018,0.0077,0.7007,-0.0017,0.0359,-1.6692,1
9,73728,370,46,149.8,1652.8,0.3793,0.25,0.4706,0.0,0.625,0.0769,191.1,5.26,1.79,10.21,0.7703,5.99,0.0012,0.0009,0.7315,-0.0012,0.0361,-1.6488,1
10,81920,409,39,168.0,1573.7,0.36,0.4545,0.2857,0.0,0.7273,0.0714,192.7,5.33,1.797,10.56,0.7624,6.03,0.0011,0.0012,0.7229,-0.0016,0.0418,-1.6507,1
11,90112,462,53,186.5,1504.2,0.2368,0.2,0.2778,0.0,0.4,0.1304,172.6,4.81,1.7795,10.31,0.7628,5.93,0.0036,0.0226,0.6928,-0.0029,0.0452,-1.6584,2
12,98304,517,55,205.5,1384.9,0.275,0.2609,0.2941,0.0,0.3529,0.2174,167.2,4.67,1.7678,10.19,0.7616,5.86,0.002,0.0032,0.7226,-0.0021,0.0432,-1.6498,2
13,106496,564,47,227.6,1077.3,0.2,0.2632,0.125,0.0,0.6364,0.0,155.5,4.51,1.7506,10.12,0.7564,5.76,0.0021,0.0071,0.7707,-0.0019,0.0357,-1.6453,2
14,114688,615,51,247.1,1266.8,0.3095,0.2857,0.3333,0.0,0.5789,0.087,157.6,5.08,1.7661,10.16,0.7616,5.85,0.0017,0.0031,0.8022,-0.002,0.0375,-1.6484,2
15,122880,661,46,274.0,879.4,0.2432,0.2105,0.2778,0.0,0.5625,0.0,167.2,5.11,1.8183,11.01,0.758,6.16,0.0036,0.0165,0.8447,-0.0033,0.0345,-1.681,2
16,131072,713,52,299.1,1182.4,0.2564,0.3529,0.1818,0.0,0.4286,0.16,169.7,4.88,1.7879,10.85,0.75,5.98,0.002,0.0026,0.7536,-0.0019,0.0476,-1.6626,3
17,139264,772,59,318.0,1396.9,0.2439,0.2778,0.2174,0.0,0.4444,0.087,162.4,4.61,1.7773,10.61,0.7524,5.91,0.0023,0.0139,0.7814,-0.0026,0.0442,-1.6335,3
18,147456,824,52,336.7,1430.2,0.3548,0.2308,0.4444,0.0,0.6923,0.1111,150.1,4.06,1.7522,10.6,0.7421,5.77,0.0018,0.0031,0.7831,-0.0018,0.0485,-1.6367,3
19,155648,871,47,355.4,1517.3,0.3889,0.375,0.4,0.0,0.8,0.0952,151.7,4.51,1.7735,10.95,0.741,5.89,0.0031,0.0152,0.8345,-0.0027,0.0366,-1.6216,3
20,163840,911,40,373.7,1556.9,0.3077,0.2143,0.4167,0.0,0.7273,0.0,181.1,4.85,1.7503,10.36,0.7485,5.76,0.0035,0.0154,0.8441,-0.0031,0.0337,-1.6582,3
21,172032,955,44,391.9,1611.0,0.3214,0.35,0.25,0.0,0.5455,0.1765,168.5,4.66,1.7858,11.23,0.7383,5.96,0.0038,0.0196,0.8093,-0.003,0.0388,-1.6558,4
22,180224,998,43,410.4,1541.1,0.2667,0.3333,0.2,0.0,0.625,0.1364,174.0,4.74,1.7465,11.32,0.7197,5.73,0.003,0.0143,0.8062,-0.0026,0.0425,-1.6329,4
23,188416,1039,41,429.1,1446.8,0.1562,0.1333,0.1765,0.0,0.2857,0.0556,187.8,5.2,1.7384,11.08,0.7228,5.69,0.004,0.0266,0.8411,-0.0041,0.0311,-1.6209,4
24,196608,1091,52,448.3,1335.5,0.3158,0.3,0.3333,0.0,0.55,0.0556,187.8,4.98,1.7219,10.69,0.7269,5.6,0.0033,0.0227,0.7899,-0.0032,0.0446,-1.6343,4
25,204800,1135,44,467.3,1434.3,0.3529,0.2143,0.45,0.0,0.8,0.0,189.5,5.23,1.7667,11.48,0.7238,5.85,0.0028,0.014,0.8716,-0.0024,0.0281,-1.6452,4
26,212992,1185,50,486.6,1324.2,0.25,0.2353,0.2667,0.0,0.5,0.0556,199.0,5.14,1.7154,10.74,0.7227,5.56,0.0034,0.0227,0.7868,-0.003,0.0477,-1.6232,5
27,221184,1223,38,505.5,1501.1,0.375,0.25,0.5,0.0,0.7273,0.0769,183.1,5.08,1.7402,11.36,0.716,5.7,0.0042,0.0255,0.8497,-0.0036,0.0315,-1.6287,5
28,229376,1264,41,524.1,1543.0,0.1786,0.0,0.3846,0.0,0.625,0.0,188.4,5.2,1.7246,11.27,0.7121,5.61,0.0034,0.016,0.9084,-0.0033,0.0193,-1.6008,5
29,237568,1309,45,542.6,1581.4,0.4074,0.1667,0.6,0.037,0.6667,0.2,208.6,5.13,1.7175,11.08,0.7141,5.57,0.0032,0.0189,0.8167,-0.0033,0.038,-1.6196,5
30,245760,1354,45,560.9,1453.6,0.2759,0.1875,0.3846,0.0,0.5,0.0667,173.4,4.51,1.724,11.64,0.7025,5.61,0.0033,0.0292,0.8104,-0.0036,0.0436,-1.6028,5
31,253952,1396,42,579.6,1339.4,0.3333,0.2,0.4667,0.0,0.6923,0.0588,186.9,5.29,1.7241,11.52,0.7053,5.61,0.0031,0.022,0.7962,-0.0029,0.0386,-1.5932,6
32,262144,1446,50,598.0,1479.7,0.1842,0.125,0.2273,0.0,0.5385,0.0,181.9,5.32,1.7209,10.97,0.7185,5.59,0.004,0.0211,0.8427,-0.0033,0.0303,-1.5985,6
33,270336,1489,43,616.7,1387.1,0.36,0.3333,0.4,0.0,0.75,0.1765,195.5,4.7,1.7281,11.09,0.7183,5.63,0.0034,0.0246,0.8349,-0.0039,0.0367,-1.598,6
34,278528,1528,39,635.5,1311.2,0.2188,0.125,0.3125,0.0,0.4667,0.0,165.7,5.13,1.7075,11.39,0.7018,5.52,0.0038,0.025,0.8645,-0.0035,0.0259,-1.5984,6
35,286720,1568,40,653.8,1418.0,0.3125,0.2857,0.3333,0.0,0.6,0.0588,183.8,5.3,1.7713,12.28,0.7062,5.88,0.0033,0.0268,0.8613,-0.0035,0.0307,-1.6039,6
36,294912,1615,47,672.4,1379.2,0.2727,0.25,0.2941,0.0,0.6364,0.0909,194.2,5.13,1.7359,11.47,0.7116,5.67,0.0035,0.0266,0.8716,-0.0036,0.0303,-1.6067,7
37,303104,1664,49,691.1,1375.8,0.2,0.1739,0.2353,0.0,0.4615,0.0741,172.5,5.16,1.6929,10.79,0.7118,5.44,0.0031,0.0262,0.8235,-0.0031,0.0389,-1.567,7
38,311296,1705,41,709.5,1417.1,0.2,0.2,0.2,0.0,0.5714,0.087,168.8,5.05,1.6909,11.33,0.6965,5.42,0.0033,0.0204,0.854,-0.0033,0.0295,-1.5679,7
39,319488,1749,44,728.5,1327.8,0.2188,0.1,0.4167,0.0,0.4545,0.0952,211.9,5.66,1.7461,11.74,0.709,5.73,0.0041,0.0181,0.8333,-0.0039,0.0332,-1.5991,7
40,327680,1787,38,747.2,1357.7,0.4,0.3333,0.4615,0.0,0.4615,0.3333,209.4,5.45,1.6727,11.01,0.6972,5.33,0.0043,0.0243,0.8111,-0.0036,0.0424,-1.5668,7
41,335872,1836,49,765.7,1385.0,0.2368,0.15,0.3333,0.0,0.5333,0.0435,187.6,5.51,1.7094,11.46,0.701,5.53,0.0033,0.0243,0.8652,-0.0035,0.033,-1.5902,8
42,344064,1871,35,784.1,1414.5,0.36,0.3077,0.4167,0.0,0.875,0.1176,193.4,5.34,1.7288,11.77,0.7013,5.63,0.0037,0.0197,0.8199,-0.0039,0.0373,-1.5729,8
43,352256,1917,46,803.0,1288.2,0.303,0.0769,0.45,0.0,0.6364,0.1364,204.3,5.67,1.6924,11.13,0.7025,5.43,0.0046,0.0311,0.8431,-0.0039,0.0393,-1.6073,8
44,360448,1965,48,822.0,1279.9,0.3143,0.1429,0.4286,0.0,0.5294,0.1111,199.0,5.58,1.6836,11.23,0.696,5.39,0.0026,0.0337,0.8508,-0.0032,0.0373,-1.5876,8
45,368640,2003,38,840.5,1401.7,0.2759,0.2143,0.3333,0.0,0.6154,0.0,182.9,5.37,1.6858,11.11,0.7001,5.4,0.0041,0.0327,0.8806,-0.0036,0.0266,-1.5644,8
46,376832,2036,33,858.9,1423.1,0.2632,0.2857,0.25,0.0,0.8333,0.0,203.0,5.33,1.6914,11.58,0.6905,5.43,0.0035,0.0177,0.8845,-0.0035,0.0261,-1.5816,9
47,385024,2077,41,877.6,1343.0,0.2667,0.2143,0.3125,0.0,0.6364,0.0526,203.2,5.83,1.7029,11.67,0.693,5.49,0.0043,0.0188,0.8415,-0.0035,0.0356,-1.605,9
48,393216,2120,43,895.9,1421.5,0.3,0.2,0.5,0.0333,0.4211,0.0909,207.0,5.67,1.7364,11.97,0.6995,5.68,0.0048,0.0412,0.8801,-0.0054,0.0287,-1.5962,9
49,401408,2160,40,914.2,1433.7,0.2083,0.1818,0.2308,0.0,0.4545,0.0,214.8,5.47,1.7585,12.64,0.6932,5.8,0.0032,0.0231,0.889,-0.004,0.0247,-1.5996,9
50,409600,2199,39,932.9,1364.1,0.3571,0.2941,0.4545,0.0,0.5833,0.1875,190.3,5.1,1.6708,11.54,0.6832,5.32,0.0046,0.0228,0.8153,-0.004,0.042,-1.5622,9
51,417792,2237,38,951.2,1465.6,0.2759,0.25,0.3077,0.0,0.4286,0.1333,199.7,5.45,1.6897,11.82,0.684,5.42,0.0031,0.0324,0.8325,-0.0039,0.0355,-1.5857,10
52,425984,2284,47,969.2,1513.8,0.25,0.2222,0.2632,0.0,0.4667,0.0,190.2,4.72,1.7033,12.1,0.6831,5.49,0.0048,0.0363,0.8081,-0.0042,0.0398,-1.5723,10
53,434176,2332,48,987.1,1532.7,0.4194,0.4,0.4375,0.0,0.8,0.2381,207.1,5.06,1.6576,11.82,0.6711,5.25,0.0055,0.0468,0.7257,-0.0045,0.0538,-1.5348,10
54,442368,2362,30,1005.4,1443.0,0.2222,0.2727,0.1429,0.0,0.6,0.0769,193.1,4.87,1.6342,11.56,0.6676,5.13,0.0052,0.0374,0.804,-0.0047,0.0314,-1.5258,10
55,450560,2415,53,1024.3,1310.2,0.2973,0.2,0.4118,0.0,0.6,0.0909,198.9,5.34,1.6317,11.46,0.669,5.11,0.0048,0.036,0.7937,-0.0043,0.0391,-1.5453,10
56,458752,2458,43,1043.6,1250.0,0.2778,0.3333,0.2222,0.0,0.5625,0.05,159.2,4.7,1.6512,11.93,0.6661,5.21,0.0035,0.0261,0.8076,-0.0043,0.0375,-1.5149,11
57,466944,2506,48,1062.8,1311.6,0.2941,0.1818,0.3478,0.0,0.6667,0.0,196.7,5.38,1.6378,12.27,0.6533,5.14,0.0039,0.0298,0.8697,-0.0042,0.0266,-1.5236,11
58,475136,2546,40,1081.4,1407.2,0.2188,0.1429,0.2778,0.0,0.75,0.0417,172.1,5.03,1.5758,11.5,0.6451,4.83,0.0053,0.035,0.8757,-0.005,0.0284,-1.5061,11
59,483328,2586,40,1100.2,1362.8,0.2903,0.0667,0.5,0.0,0.5,0.1176,196.4,5.4,1.5729,11.83,0.6366,4.82,0.0062,0.045,0.8642,-0.0062,0.0326,-1.4936,11
60,491520,2632,46,1118.4,1491.1,0.303,0.2727,0.3636,0.0,0.6,0.0556,182.5,4.85,1.5767,11.96,0.6354,4.84,0.0052,0.0399,0.819,-0.006,0.0409,-1.4549,11
61,499712,2670,38,1136.4,1545.8,0.2692,0.1333,0.4545,0.0,0.5714,0.1579,166.1,4.47,1.5522,11.56,0.6341,4.72,0.0051,0.0402,0.772,-0.0043,0.0461,-1.4541,12
62,507904,2709,39,1155.0,1370.7,0.36,0.4615,0.25,0.0,0.8182,0.0,226.5,5.74,1.5556,12.07,0.6246,4.74,0.0043,0.0366,0.8397,-0.0055,0.0321,-1.464,12
63,516096,2739,30,1173.8,1334.7,0.3158,0.3636,0.25,0.0,0.5714,0.1667,255.8,6.0,1.5948,12.4,0.6335,4.93,0.0053,0.043,0.8525,-0.0056,0.0256,-1.4877,12
64,524288,2776,37,1193.1,1263.2,0.3333,0.2353,0.5,0.0,0.4667,0.1667,233.6,5.86,1.5589,12.48,0.6176,4.75,0.0042,0.0439,0.8294,-0.0044,0.0364,-1.4416,12
65,532480,2820,44,1211.8,1362.5,0.4545,0.5385,0.4,0.0,0.7143,0.2632,209.9,5.61,1.577,12.92,0.6162,4.84,0.006,0.0668,0.7751,-0.0057,0.0477,-1.4566,12
66,540672,2861,41,1230.3,1417.6,0.2333,0.2222,0.25,0.0,0.5,0.1,200.6,5.34,1.5602,12.14,0.625,4.76,0.0047,0.0433,0.8033,-0.0053,0.035,-1.4429,13
67,548864,2897,36,1248.5,1476.5,0.2609,0.3333,0.1818,0.0,0.6,0.1667,199.1,5.03,1.5806,12.87,0.6187,4.86,0.0051,0.0537,0.8429,-0.0053,0.0303,-1.4585,13
68,557056,2939,42,1267.1,1361.5,0.4815,0.4375,0.5455,0.0,0.75,0.0909,230.0,5.31,1.5838,13.12,0.6153,4.87,0.0051,0.0372,0.8317,-0.0051,0.0369,-1.4513,13
69,565248,2976,37,1285.6,1375.6,0.3214,0.2667,0.3846,0.0,0.6667,0.1579,204.6,5.49,1.5515,12.65,0.6113,4.72,0.0039,0.0354,0.8515,-0.0057,0.0327,-1.4438,13
70,573440,3008,32,1304.1,1425.8,0.2917,0.4286,0.2353,0.0,0.5714,0.1765,195.7,5.25,1.5794,13.36,0.6092,4.85,0.006,0.062,0.8322,-0.0067,0.0325,-1.4365,13
71,581632,3046,38,1322.7,1358.1,0.5769,0.4545,0.6667,0.0,0.8667,0.1818,237.6,5.74,1.5918,14.32,0.5981,4.91,0.0075,0.0638,0.812,-0.0066,0.0373,-1.4262,14
72,589824,3081,35,1341.0,1428.2,0.2083,0.25,0.1667,0.0,0.3636,0.0769,242.5,5.91,1.5353,13.22,0.5946,4.64,0.005,0.0521,0.7547,-0.0047,0.0408,-1.4092,14
73,598016,3111,30,1358.9,1534.3,0.2727,0.3077,0.2222,0.0,0.6,0.0,224.4,5.6,1.5238,13.88,0.5793,4.59,0.0058,0.0594,0.8576,-0.0051,0.024,-1.3789,14
74,606208,3148,37,1377.5,1412.9,0.4762,0.5714,0.2857,0.0,0.8889,0.1667,203.0,4.68,1.4388,12.93,0.5622,4.22,0.0065,0.0578,0.8335,-0.0052,0.0341,-1.3276,14
75,614400,3186,38,1396.1,1378.2,0.3929,0.3529,0.4545,0.0,0.6667,0.1875,234.8,5.66,1.4636,13.58,0.5611,4.32,0.0078,0.0833,0.818,-0.0038,0.0388,-1.3472,14
76,622592,3213,27,1414.3,1501.6,0.5,0.5385,0.4286,0.0,0.5556,0.4545,257.8,5.89,1.4063,13.47,0.5408,4.08,0.0076,0.0663,0.7794,-0.005,0.041,-1.3407,15
77,630784,3243,30,1432.3,1565.5,0.5294,0.2,0.6667,0.0,0.8889,0.125,317.1,6.37,1.4053,13.24,0.544,4.08,0.0056,0.0617,0.8802,-0.0069,0.0248,-1.2789,15
78,638976,3280,37,1450.9,1383.6,0.1923,0.2308,0.1538,0.0,0.6667,0.05,223.3,5.49,1.3251,12.57,0.5236,3.76,0.0079,0.0619,0.8367,-0.0057,0.0294,-1.2298,15
79,647168,3329,49,1469.6,1338.9,0.375,0.2353,0.5333,0.0,0.5882,0.1333,195.6,4.73,1.3322,12.74,0.5235,3.79,0.0064,0.06,0.7315,-0.0066,0.0505,-1.2271,15
80,655360,3361,32,1488.3,1351.1,0.3462,0.1,0.5,0.0,0.5714,0.0833,215.7,5.19,1.304,12.57,0.5152,3.68,0.0058,0.0467,0.8261,-0.0065,0.0319,-1.203,15
